source_page,published_date,title,url
10,2022-09-09,岸誠二アニメーション監督 ③存在しなかったものを世に出せた 『蒼き鋼のアルペジオ-アルス・ノヴァ-』,https://febri.jp/febri_talk/kishi_seiji_3/
11,2022-08-01,錦織博アニメーション監督／演出者 ①アニメの作り方に興味を持った劇場版『銀河鉄道999』,https://febri.jp/febri_talk/nishikiori_hiroshi_1/
11,2022-08-03,錦織博アニメーション監督／演出者 ②時間の流れを初めて意識させられた『タッチ』,https://febri.jp/febri_talk/nishikiori_hiroshi_2/
11,2022-08-05,錦織博アニメーション監督／演出者 ③同時代の監督たちと出会うきっかけ『ザ☆ドラえもんズ 怪盗ドラパン謎の挑戦状！』,https://febri.jp/febri_talk/nishikiori_hiroshi_3/
11,2022-08-08,梅原翔太アニメーションプロデューサー ①自分も特別な存在になりたかった『デジモン』シリーズ,https://febri.jp/febri_talk/umeharashota1/
11,2022-08-10,梅原翔太アニメーションプロデューサー ②深夜アニメにハマるきっかけ『宇宙のステルヴィア』,https://febri.jp/febri_talk/umeharashota2/
11,2022-08-12,梅原翔太アニメーションプロデューサー ③作画の力に圧倒された 『とらドラ！』,https://febri.jp/febri_talk/umeharashota3/
11,2022-08-15,斎藤敦史アニメーター ①アニメーションの面白さを知った 『マインド・ゲーム』,https://febri.jp/febri_talk/saito_atsushi_1/
11,2022-08-17,斎藤敦史アニメーター ②自分の成長がはっきりと感じられた『けいおん！』,https://febri.jp/febri_talk/saito_atsushi_2/
11,2022-08-19,斎藤敦史アニメーター ③キャラクターにハマる楽しさを知った『SHIROBAKO』,https://febri.jp/febri_talk/saito_atsushi_3/
12,2022-07-11,加藤大典ゲームプロデューサー ①幼少期の思い出が仕事とリンクした『鎧伝サムライトルーパー』,https://febri.jp/febri_talk/katou_daisuke_1/
12,2022-07-13,加藤大典ゲームプロデューサー ②人生をともに過ごした『ヱヴァンゲリヲン新劇場版』,https://febri.jp/febri_talk/katou_daisuke_2/
12,2022-07-15,加藤大典ゲームプロデューサー ③沖縄で体験した最高の瞬間『KING OF PRISM by PrettyRhythm』,https://febri.jp/febri_talk/katou_daisuke_3/
12,2022-07-18,藤原さくらミュージシャン ①音楽やカルチャーのルーツとなった『ポケットモンスター』シリーズ,https://febri.jp/febri_talk/fujiwarasakura1/
12,2022-07-20,藤原さくらミュージシャン ②音楽制作を通して想いが深まった 『コードギアス 反逆のルルーシュ』シリーズ,https://febri.jp/febri_talk/fujiwarasakura-2/
12,2022-07-22,藤原さくらミュージシャン ③パズルのピースがハマる構成に心を奪われた『オッドタクシー』,https://febri.jp/febri_talk/fujiwarasakura3/
12,2022-07-25,渡辺歩演出家／アニメーター ①表現の自由さに打ちのめされた『アルプスの少女ハイジ』,https://febri.jp/febri_talk/watanabe_ayumu_1/
12,2022-07-27,渡辺歩演出家／アニメーター ②見直すたび、かつての自分に戻れる『あしたのジョー2』,https://febri.jp/febri_talk/watanabe_ayumu_2/
12,2022-07-29,渡辺歩演出家／アニメーター ③大事なことはすべて『ドラえもん』から教わった,https://febri.jp/febri_talk/watanabe_ayumu_3/
13,2022-06-20,會川昇脚本家 ①ロボットアニメという「骨」ができた『マジンガーZ』,https://febri.jp/febri_talk/aikawa_sho_1/
13,2022-06-22,會川昇脚本家 ②少年主人公ものに時代の哀愁を重ねた『バビル2世』,https://febri.jp/febri_talk/aikawa_sho_2/
13,2022-06-24,會川昇脚本家 ③「普通」のアニメという可能性『ゴルゴ13 劇場版』,https://febri.jp/febri_talk/aikawa_sho_3/
13,2022-06-27,錦織敦史演出家／アニメーター ①アニメにハマる感覚を初めて知った『らんま1/2』,https://febri.jp/febri_talk/atsushi_nishigori_1/
13,2022-06-29,錦織敦史演出家／アニメーター ②『ああっ女神さまっ』OVAシリーズ自分が目指すべき場所を示してくれた,https://febri.jp/febri_talk/atsushi_nishigori_2/
13,2022-07-01,錦織敦史演出家／アニメーター ③人生の転換点となった『新世紀エヴァンゲリオン』,https://febri.jp/febri_talk/atsushi_nishigori_3/
13,2022-07-04,菱田正和アニメーション監督／演出家 ①アニメ業界に入った唯一の理由『機動戦士ガンダム』,https://febri.jp/febri_talk/hishida_masakazu_1/
